Latitude,Longitude,Community Areas,Area(unit)
41.897359,-87.722827,Humboldt Park,125010425.593
41.768607,-87.64486590000001,Englewood,173600015.009
41.867101899999994,-87.645114,"Little Italy, UIC",71376244.1225
41.899215999999996,-87.718011,Humboldt Park,125010425.593
41.901856,-87.77448299999999,Austin,170037750.826
41.8670911,-87.72275959999999,North Lawndale,89487422.0244
41.725846999999995,-87.574057,Calumet Heights,48826241.5643
41.7730667,-87.60817359999999,Woodlawn,40515739.083
41.7651723,-87.6456177,Englewood,173600015.009
41.766016,-87.57811579999999,South Shore,81812716.3904
41.7766217,-87.6060946,Woodlawn,40515739.083
41.7624901,-87.57620920000001,South Shore,81812716.3904
41.864438,-87.707173,North Lawndale,89487422.0244
41.8608564,-87.7091397,North Lawndale,89487422.0244
41.880691,-87.757358,Austin,170037750.826
41.7779747,-87.6407858,Englewood,173600015.009
41.8820033,-87.6838152,United Center,32520512.7053
41.8954158,-87.7211681,Humboldt Park,125010425.593
41.657216999999996,-87.60285079999998,Riverdale,98389497.4143
41.801695,-87.621492,Washington Park,42373881.4842
41.65572720000001,-87.59665720000001,Riverdale,98389497.4143
41.654255400000004,-87.60489009999999,Riverdale,98389497.4143
41.7849239,-87.656194,Englewood,173600015.009
41.7839843,-87.66309620000001,Englewood,173600015.009
41.769804,-87.627826,Grand Crossing,98853167.7093
41.7937259,-87.6913647,Gage Park,61284896.1132
41.872452,-87.715948,Garfield Park,89976069.5947
41.790362,-87.657543,Englewood,173600015.009
41.894690000000004,-87.748013,Austin,170037750.826
41.850156899999995,-87.6996806,Little Village,127998297.819
42.0112244,-87.66589870000001,Rogers Park,51259902.4506
41.765289200000005,-87.6280687,Grand Crossing,98853167.7093
41.773832,-87.66738000000001,Englewood,173600015.009
41.924455200000004,-87.73290809999999,Hermosa,32602059.4055
41.779082200000005,-87.694482,Chicago Lawn,98279465.1151
41.902741799999994,-87.7187666,Humboldt Park,125010425.593
41.735131,-87.6399234,Auburn Gresham,105065353.602
41.870934999999996,-87.695638,Garfield Park,89976069.5947
41.745709000000005,-87.6003647,Chatham,82320670.3112
41.751284600000005,-87.6015696,Chatham,82320670.3112
41.6780076,-87.6226361,West Pullman,99365198.0822
41.8670071,-87.6469181,"Little Italy, UIC",71376244.1225
41.7789276,-87.6645075,Englewood,173600015.009
41.750033,-87.548868,South Chicago,93272185.0092
41.8872135,-87.7651962,Austin,170037750.826
41.732718,-87.638289,Auburn Gresham,105065353.602
41.7044335,-87.5876147,South Deering,303797059.66
41.895262,-87.753344,Austin,170037750.826
41.900602,-87.763998,Austin,170037750.826
41.899692,-87.762514,Austin,170037750.826
41.742246,-87.701825,Ashburn,135460337.208
41.9034998,-87.73126490000001,Humboldt Park,125010425.593
41.89453029999999,-87.76666290000001,Austin,170037750.826
41.7918437,-87.6340797,Englewood,173600015.009
41.7710619,-87.6186204,Grand Crossing,98853167.7093
41.784074700000005,-87.60115379999999,Woodlawn,40515739.083
41.651793700000006,-87.5301281,Hegewisch,145965741.437
41.6917849,-87.5260228,Hegewisch,145965741.437
41.67646920000001,-87.5332542,Hegewisch,145965741.437
41.712855700000006,-87.5352943,East Side,83241728.0493
41.758131799999994,-87.63144890000001,Grand Crossing,98853167.7093
41.759782,-87.63414300000001,Grand Crossing,98853167.7093
41.8121876,-87.5993403,Kenwood,29071741.9283
41.8806468,-87.7650791,Austin,170037750.826
41.9172266,-87.75744830000001,Belmont Cragin,109099407.211
41.8803239,-87.70849759999999,Garfield Park,89976069.5947
41.880925500000004,-87.708476,Garfield Park,89976069.5947
41.8809909,-87.70563979999999,Garfield Park,89976069.5947
